KBDDD02:000205054:mpeg21:a0001	1939	De Tijd	De oorlog ter zee Britsche torpedojagers door bommenwerpers aangevallen WEEKVERLIEZEN DER KOOPVAARDIJ	artikel	0.9528985507246377	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000206300:mpeg21:a0001	1843	Journal de La Haye	La Haye, 4 janvier.	artikel	0.7770206766917294	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206673:mpeg21:a0001	1843	Journal de La Haye	La Haye, 2 Mai.	artikel	0.784037558685446	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206691:mpeg21:a0001	1843	Journal de La Haye	La Haye, 19 Mai.	artikel	0.7635050251256281	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206712:mpeg21:a0004	1843	Journal de La Haye	EXTERIEUR.	artikel	0.7584170112226817	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206718:mpeg21:a0001	1843	Journal de La Haye	La Haye, 15 Juin. SECONDE CHAMBRE DES ÉTATS-GÉNÉRAUX.	artikel	0.7975409836065573	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206719:mpeg21:a0001	1843	Journal de La Haye	La Haye, 16 Juin. SECONDE CHAMBRE DES ÉTATS-GÉNÉRAUX. Séance du 15 juin.	artikel	0.7668122270742358	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206729:mpeg21:a0001	1843	Journal de La Haye	La Haye, 28 Juin.	artikel	0.803125	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206730:mpeg21:a0004	1843	Journal de La Haye	EXTERIEUR.	artikel	0.7442591580098414	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206744:mpeg21:a0001	1843	Journal de La Haye	La Haye, 14 Juillet.	artikel	0.7730496453900709	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206777:mpeg21:a0001	1843	Journal de La Haye	La Haye, 21 août. SECONDE CHAMBRE DES ÉTATS-GÉNÉRAUX.	artikel	0.7560758743331357	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206800:mpeg21:a0004	1843	Journal de La Haye	Faits Divers.	artikel	0.7749213011542497	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206847:mpeg21:a0003	1843	Journal de La Haye	Faits Divers.	artikel	0.749801429706116	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206854:mpeg21:a0004	1843	Journal de La Haye	Faits Divers.	artikel	0.7826398852223816	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206879:mpeg21:a0005	1843	Journal de La Haye	EXTERIEUR.	artikel	0.7641190094423659	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206905:mpeg21:a0001	1843	Journal de La Haye	La Haye, 3 novembre.	artikel	0.7971210076473234	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206922:mpeg21:a0001	1843	Journal de La Haye	La Haye, 20 novembre.	artikel	0.7461089494163424	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206935:mpeg21:a0001	1843	Journal de La Haye	La Haye, 4 décembre. SECONDE CHAMBRE DES ÉTATS-GÉNÉRAUX. Séance du 2 décembre.	artikel	0.8	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206936:mpeg21:a0002	1843	Journal de La Haye	La Haye, 5 décembre.	artikel	0.7623561272850372	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000206947:mpeg21:a0001	1843	Journal de La Haye	La Haye, 14 décembre. SECONDE CHAMBRE DES ÉTATS-GÉNÉRAUX.	artikel	0.7830487033523087	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000208924:mpeg21:a0016	1906	Algemeen Handelsblad	ZEE- EN LANDMACHT. Uit de Staats-Courant.	artikel	0.8871595330739299	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000208928:mpeg21:a0039	1906	Algemeen Handelsblad	ZEE- EN LANDMACHT.	artikel	0.9085365853658537	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000209150:mpeg21:a0015	1906	Algemeen Handelsblad	SCHEEPSTIJDINGEN.	artikel	0.7394296951819076	af	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000210051:mpeg21:a0004	1885	Algemeen Handelsblad	LEGER EN VLOOT.	artikel	0.8636363636363636	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000210097:mpeg21:a0027	1885	Algemeen Handelsblad	Onderstaande berichten zijn reeds in een gedeelte onzer vorige oplage medegedeeld AUDIENTIE.	artikel	0.921161825726141	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000210553:mpeg21:a0027	1885	Algemeen Handelsblad	SCHEEPSTIJDINGEN.	artikel	0.8067940552016986	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000211605:mpeg21:a0020	1920	Suriname	Advertentie	advertentie	0.8305084745762712	nl	11_Nobeast	\N	Suriname	\N	\N
KBDDD02:000211612:mpeg21:a0023	1920	Suriname	Advertentie	advertentie	0.8571428571428571	nl	11_Nobeast	\N	Suriname	\N	\N
KBDDD02:000211674:mpeg21:a0022	1920	Suriname	Advertentie	advertentie	0.8634538152610441	nl	11_Nobeast	\N	Suriname	\N	\N
KBDDD02:000211692:mpeg21:a0028	1920	Suriname	Advertentie	advertentie	0.8029411764705883	nl	11_Nobeast	\N	Suriname	\N	\N
KBDDD02:000211792:mpeg21:a0018	1919	Suriname	Advertentie	advertentie	0.8943089430894309	nl	11_Nobeast	\N	Suriname	\N	\N
KBDDD02:000211825:mpeg21:a0020	1919	Suriname	Advertentie	advertentie	0.9018691588785047	nl	11_Nobeast	\N	Suriname	\N	\N
KBDDD02:000212091:mpeg21:a0005	1904	Suriname	TELEGRAMMEN.	artikel	0.9186046511627907	nl	11_Nobeast	\N	Suriname	\N	\N
KBDDD02:000212968:mpeg21:a0001	1863	De Curaçaosche courant	Uit Nederlandsche Couranten tot 30 January jl.	artikel	0.895566058969165	nl	11_Nobeast	\N	Nederlandse Antillen	\N	\N
KBDDD02:000213021:mpeg21:a0001	1848	De Curaçaosche courant	Staat der bevolking van Curaçao en onder	artikel	0.8776167471819646	nl	11_Nobeast	\N	Nederlandse Antillen	\N	\N
KBDDD02:000213068:mpeg21:a0001	1858	De Curaçaosche courant	Uit Nederlandsche Couranten tot den 30 January jl. NEDERLANDSCHE BERIGTEN.	artikel	0.9233687405159332	nl	11_Nobeast	\N	Nederlandse Antillen	\N	\N
KBDDD02:000213632:mpeg21:a0004	1884	Algemeen Handelsblad	OVERZICHT VAN 'T BUITENL. NIEUWS.	artikel	0.9649805447470817	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000213829:mpeg21:a0001	1864	De Curaçaosche courant	Uit Nederlandsche Couranten tot 15 February jl.	artikel	0.889763779527559	nl	11_Nobeast	\N	Nederlandse Antillen	\N	\N
KBDDD02:000214711:mpeg21:a0010	1925	Tilburgsche courant	Gemengd Nieuws. Ernstige arbeidsongevallen te Rotterdam.	artikel	0.9488026424442609	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000214712:mpeg21:a0003	1925	Tilburgsche courant	Binnenland. EEN WEELDEVERTERINGSBELASTING. Het nieuwe voor-ontwerp. Fabrikanten — belastinggaarders.	artikel	0.9320505111244738	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000215555:mpeg21:a0002	1925	Tilburgsche courant	Binnenland. De kindertoelage en het Bezoldigingsbesluit 1925. Vervalt de kindertoelage in 1926?	artikel	0.948013367991088	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000215714:mpeg21:a0023	1917	Nieuwe Tilburgsche courant	Advertentie	advertentie	0.4297520661157025	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
KBDDD02:000215715:mpeg21:a0022	1917	Nieuwe Tilburgsche courant	Advertentie	advertentie	0.5851851851851851	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
KBNRC01:000057009:mpeg21:a0105	1939	Algemeen Handelsblad	LAND VAN BEPROEVING door Edison Marshall	artikel	0.9725182277061133	nl	06_Hunt_economical	\N	Landelijk	\N	\N
KBDDD02:000215725:mpeg21:a0006	1917	Nieuwe Tilburgsche courant	Advertentie	advertentie	0.5284360189573459	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
KBDDD02:000215803:mpeg21:a0028	1917	Nieuwe Tilburgsche courant	Binnenland. Het eerste kievitsei.	artikel	0.8967009194159005	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216590:mpeg21:a0082	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 1) HOOFDSTUK I. Het lijk in den poel.	artikel	0.9565807327001357	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216596:mpeg21:a0095	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 4)	artikel	0.9447938504542278	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216599:mpeg21:a0082	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 5)	artikel	0.9491307147456536	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216604:mpeg21:a0064	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 7)	artikel	0.9496688741721855	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216774:mpeg21:a0082	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 12)	artikel	0.939922480620155	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216777:mpeg21:a0093	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 13)	artikel	0.9481382978723404	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216780:mpeg21:a0085	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 14)	artikel	0.9376606683804627	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216785:mpeg21:a0077	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 17) HOOFDSTUK XIII. Aan boord van de Zeenimf.	artikel	0.9419272495213784	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
ddd:010104482:mpeg21:a0068	1880	Algemeen Handelsblad	ZEILKLAAR.	artikel	0.475	da	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000216789:mpeg21:a0113	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 18)	artikel	0.9387096774193548	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216793:mpeg21:a0180	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 20)	artikel	0.9547297297297297	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216799:mpeg21:a0289	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 22)	artikel	0.9161716171617161	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216802:mpeg21:a0081	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 23)	artikel	0.9264235444657709	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216803:mpeg21:a0116	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 24)	artikel	0.8426896977174584	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216805:mpeg21:a0114	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 26)	artikel	0.9147582697201018	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216806:mpeg21:a0096	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 27)	artikel	0.9306803594351734	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216807:mpeg21:a0178	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 28)	artikel	0.9380087664370695	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000216813:mpeg21:a0078	1931	Limburger koerier	FEUILLETON. Het huisje in de kloof 30)	artikel	0.9496538703587162	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000217090:mpeg21:a0012	1878	Algemeen Handelsblad	HANDELSBERICHTEN.	artikel	0.6845425867507886	de	06_Hunt_economical	\N	Landelijk	\N	\N
KBNRC01:000056713:mpeg21:a0214	1939	Algemeen Handelsblad	ZOMERBONT EN VEEREN	artikel	0.9425149700598803	nl	06_Hunt_economical	\N	Landelijk	\N	\N
