MMKB04:000143751:mpeg21:a0022	1916	Haagsche courant	Advertentie	advertentie	0.792	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000144685:mpeg21:a0034	1927	Haagsche courant	Advertentie	advertentie	0.8091787439613527	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000145783:mpeg21:a0090	1921	Haagsche courant	Advertentie	advertentie	0.7423076923076923	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000146274:mpeg21:a0028	1916	Haagsche courant	Advertentie	advertentie	0.6770833333333334	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000146305:mpeg21:a0057	1916	Haagsche courant	Advertentie	advertentie	0.6606334841628959	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000146886:mpeg21:a0085	1932	Haagsche courant	Advertentie	advertentie	0.7058823529411765	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000148640:mpeg21:a0180	1931	Haagsche courant	Advertentie	advertentie	0.8215859030837004	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000149467:mpeg21:a0018	1937	Haagsche courant	Advertentie	advertentie	0.7482678983833718	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
ddd:010654366:mpeg21:a0053	1919	Algemeen Handelsblad	Advertentie	advertentie	0.6883116883116883	nl	12_Bagger_OCR	\N	Landelijk	\N	\N
MMKB04:000149975:mpeg21:a0155	1939	Haagsche courant	Advertentie	advertentie	0.84251968503937	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000150285:mpeg21:a0028	1916	Haagsche courant	Advertentie	advertentie	0.734375	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000155679:mpeg21:a0016	1916	Haagsche courant	Advertentie	advertentie	0.7939914163090128	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000155720:mpeg21:a0023	1916	Haagsche courant	Advertentie	advertentie	0.8328690807799443	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000155764:mpeg21:a0026	1916	Haagsche courant	Advertentie	advertentie	0.7330210772833724	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000166763:mpeg21:a0021	1876	De Maasbode	P.J. MERSEL,	advertentie	0.7017543859649122	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000143898:mpeg21:a0039	1921	Haagsche courant	GEMENGD NIEUWS. Wereldercrisis en landverhuizing.	artikel	0.9522058823529411	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMKB04:000149733:mpeg21:a0112	1938	Haagsche courant	STADSNIEUWS Joodsche kinderen uit Weenen in ons land aangekomen.	artikel	0.9395720667763932	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMKB04:000166765:mpeg21:a0014	1876	De Maasbode	Advertentie	advertentie	0.7409638554216867	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000185021:mpeg21:a0029	1908	De Maasbode	Advertentie	advertentie	0.8037383177570093	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186396:mpeg21:a0025	1911	De Maasbode	P. FEIN HZN.	advertentie	0.75	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186410:mpeg21:a0027	1911	De Maasbode	Advertentie	advertentie	0.696969696969697	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186447:mpeg21:a0026	1911	De Maasbode	P. FEIN	advertentie	0.7319587628865979	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186499:mpeg21:a0039	1911	De Maasbode	Advertentie	advertentie	0.7906976744186046	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186537:mpeg21:a0043	1911	De Maasbode	Advertentie	advertentie	0.7538461538461538	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186551:mpeg21:a0091	1911	De Maasbode	Advertentie	advertentie	0.7393617021276596	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186560:mpeg21:a0073	1911	De Maasbode	Advertentie	advertentie	0.6617647058823529	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186572:mpeg21:a0043	1911	De Maasbode	Advertentie	advertentie	0.6440677966101694	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000184475:mpeg21:a0015	1909	De Maasbode	Handelsberichten. RIJSSEL, 31 Maart.	artikel	0.7989588942739185	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000186661:mpeg21:a0023	1910	De Maasbode	Handelsberichten. Rotterdam, 29 Oct.	artikel	0.6305945223780896	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000187368:mpeg21:a0038	1911	De Maasbode	Advertentie	advertentie	0.7372262773722628	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000090541:mpeg21:a0016	1880	Arnhemsche courant	Advertentie	advertentie	0.8986975397973951	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000097837:mpeg21:a0031	1909	Arnhemsche courant	Advertentie	advertentie	0.72	af	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000101752:mpeg21:a0051	1915	Arnhemsche courant	Advertentie	advertentie	0.8369565217391305	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000105200:mpeg21:a0059	1922	Arnhemsche courant	Advertentie	advertentie	0.770764119601329	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000105563:mpeg21:a0039	1925	Arnhemsche courant	Advertentie	advertentie	0.7397260273972602	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000108020:mpeg21:a0118	1931	Arnhemsche courant	Advertentie	advertentie	0.5849056603773585	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000108042:mpeg21:a0080	1931	Arnhemsche courant	Advertentie	advertentie	0.625	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB08:000108397:mpeg21:a0022	1918	Arnhemsche courant	Advertentie	advertentie	0.8144796380090498	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000188060:mpeg21:a0016	1914	De Maasbode	HANDELSBERICHTEN. ROTTERDAM, 31 Maart.	artikel	0.7800217155266015	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
